pkg_name	role	band
@transmute/json-web-signature	control	1K-10K
@trivago/prettier-plugin-sort-imports	control	1M+
@trivikr-test/is-array-buffer	control	1K-10K
@trpc/next	control	100K-1M
@truedat/dq	control	1K-10K
@truffle/source-map-utils	control	10K-100K
@tryghost/kg-clean-basic-html	control	10K-100K
@ts-morph/bootstrap	control	100K-1M
@tsconfig/react-native	control	100K-1M
@turist/fetch	control	1M+
@twilio-paste/text	control	10K-100K
@type-cacheable/node-cache-adapter	control	10K-100K
@types/ace	control	100K-1M
@types/asn1js	control	100K-1M
@types/big.js	control	1M+
@types/bigi	control	10K-100K
@types/call-bind	control	100K-1M
@types/cheerio	control	1M+
@types/ckeditor__ckeditor5-real-time-collaboration	control	10K-100K
@types/cookie-parser	control	1M+
@types/d3	control	1M+
@types/d3-color	control	1M+
@types/d3-selection	control	1M+
@types/eslint-scope	control	1M+
@types/expect-puppeteer	control	100K-1M
@types/express-session	control	1M+
@types/gapi.client.discovery	control	10K-100K
@types/googlepay	control	1M+
@types/graphql-upload	control	1M+
@types/hapi__hapi	control	100K-1M
@types/html-minifier-terser	control	1M+
@types/http-proxy	control	1M+
@types/intl-tel-input	control	100K-1M
@types/jest-specific-snapshot	control	1M+
@types/json-schema	control	1M+
@types/keyv	control	1M+
@types/libsodium-wrappers	control	100K-1M
@types/lodash.orderby	control	100K-1M
@types/lodash.snakecase	control	100K-1M
@types/lodash.transform	control	10K-100K
@types/lodash.union	control	1M+
@types/lru-cache	control	1M+
@types/mithril	control	100K-1M
@types/mustache	control	1M+
@types/node-sass	control	1M+
@types/nodemailer	control	1M+
@types/offscreencanvas	control	1M+
@types/opentype.js	control	100K-1M
@types/passport-naver	control	1K-10K
@types/prompts	control	100K-1M
@types/puppeteer	control	1M+
@types/react-reconciler	control	1M+
@types/react-refresh	control	100K-1M
@types/react-router	control	1M+
@types/react-textarea-autosize	control	1M+
@types/resize-observer-browser	control	1M+
@types/retry	control	1M+
@types/sharp	control	1M+
@types/shippo	control	10K-100K
@types/showdown	control	100K-1M
@types/signale	control	100K-1M
@types/sinonjs__fake-timers	control	1M+
@types/styled-components	control	1M+
@types/styled-system	control	1M+
@types/testing-library__jest-dom	control	1M+
@types/tr46	control	100K-1M
@types/webidl-conversions	control	1M+
@types/webpack-dev-server	control	1M+
@types/write-file-atomic	control	100K-1M
@types/yargs	control	1M+
@types/yauzl	control	1M+
@typescript/vfs	control	100K-1M
@udecode/plate-find-replace	control	100K-1M
@ui5/cli	control	100K-1M
@ui5/webcomponents-fiori	control	100K-1M
@uiw/react-color-editable-input	control	10K-100K
@umijs/route-utils	control	100K-1M
@un./dulcis-react	control	1K-10K
@uniswap/router-sdk	control	10K-100K
@uniswap/swap-router-contracts	control	100K-1M
@uppy/aws-s3	control	100K-1M
@uppy/informer	control	100K-1M
@uppy/locales	control	10K-100K
@uppy/progress-bar	control	100K-1M
@uppy/store-redux	control	10K-100K
@uppy/url	control	100K-1M
@vaadin/vaadin-context-menu	control	100K-1M
@vaadin/vaadin-development-mode-detector	control	100K-1M
@vaadin/vaadin-ordered-layout	control	100K-1M
@vaadin/vaadin-radio-button	control	100K-1M
@vanilla-extract/sprinkles	control	100K-1M
@vendure/create	control	1K-10K
@vercel/ncc	control	1M+
@vitejs/plugin-vue	control	1M+
@vkontakte/vk-miniapps-deploy	control	1K-10K
@volar/vue-typescript	control	100K-1M
@vrbo/pino-rotating-file	control	1K-10K
@vscode/js-debug-browsers	control	1K-10K
@vtmn/css-badge	control	10K-100K
@vue/babel-preset-app	control	1M+
@vue/cli-service	control	1M+
@vue/compiler-dom	control	1M+
@vue/compiler-ssr	control	1M+
@vuepress-reco/vuepress-plugin-back-to-top	control	1K-10K
@vuepress/plugin-back-to-top	control	100K-1M
@vueuse/core	control	1M+
@walletconnect/browser-utils	control	1M+
@walletconnect/jsonrpc-utils	control	100K-1M
@walletconnect/socket-transport	control	1M+
@wdio/cucumber-framework	control	100K-1M
@wdio/jasmine-framework	control	100K-1M
@wdio/selenium-standalone-service	control	100K-1M
@wdio/spec-reporter	control	1M+
@web3-wallet/react	control	1K-10K
@webassemblyjs/floating-point-hex-parser	control	1M+
@webassemblyjs/helper-wasm-section	control	1M+
@webassemblyjs/validation	control	100K-1M
@webcomponents/scoped-custom-element-registry	control	10K-100K
@webex/internal-plugin-wdm	control	10K-100K
@webex/plugin-teams	control	10K-100K
@webgpu/types	control	100K-1M
@webiny/handler-args	control	1K-10K
@webpack-cli/info	control	1M+
@wesselkuipers/leaflet.markercluster	control	1K-10K
@windicss/plugin-utils	control	100K-1M
@wixc3/resolve-directory-context	control	10K-100K
@wojtekmaj/enzyme-adapter-react-17	control	1M+
@wojtekmaj/enzyme-adapter-utils	control	1M+
@wordpress/components	control	100K-1M
@wordpress/create-block	control	1K-10K
@wordpress/date	control	100K-1M
@wordpress/e2e-test-utils	control	10K-100K
@wordpress/icons	control	100K-1M
@wordpress/npm-package-json-lint-config	control	100K-1M
@wry/trie	control	1M+
@wundergraph/wunderctl	control	1K-10K
@xmpp/websocket	control	10K-100K
@xo-union/util-webpack	control	1K-10K
@xstate/inspect	control	100K-1M
@xyo-network/cryptomarket-witness	control	1K-10K
@zhuweiyou/prettier-config	control	1K-10K
abortable-iterator	control	10K-100K
accordion-collapse-react-native	control	10K-100K
acorn-hammerhead	control	1M+
aemsync	control	10K-100K
aes-decrypter	control	1M+
aftership	control	10K-100K
ag-grid-react	control	1M+
aggregate-error	control	1M+
allure-commandline	control	1M+
amazon-cognito-identity-js	control	1M+
amplify-category-xr	control	100K-1M
amplify-dynamodb-simulator	control	100K-1M
amplitude-js	control	1M+
anchor-markdown-header	control	100K-1M
angular-animate	control	1M+
angular-cc-library	control	10K-100K
angular-gridster2	control	100K-1M
angular-html-parser	control	100K-1M
angularx-flatpickr	control	100K-1M
anser	control	1M+
apache-crypt	control	1M+
apache-md5	control	1M+
apollo-language-server	control	1M+
apollo-server-express	control	1M+
apollo-server-fastify	control	100K-1M
appium-idb	control	100K-1M
appium-ios-device	control	1M+
applicationinsights	control	1M+
argon2	control	100K-1M
array-back	control	1M+
array.prototype.find	control	1M+
artillery-plugin-ensure	control	10K-100K
as-bigint	control	10K-100K
astring	control	1M+
async-await-retry	control	10K-100K
async-mutex	control	1M+
aws-amplify	control	1M+
aws-appsync	control	100K-1M
aws-sdk-mock	control	1M+
ax-app-common-lib	control	10K-100K
axe-playwright	control	100K-1M
babel-plugin-inline-dotenv	control	100K-1M
babel-plugin-superjson-next	control	100K-1M
babel-plugin-transform-import-meta	control	100K-1M
babel-preset-expo	control	1M+
babel-preset-gatsby	control	1M+
belter	control	100K-1M
better-opn	control	1M+
better-vsts-npm-auth	control	1K-10K
big.js	control	1M+
bls-signatures	control	1K-10K
bnc-notify	control	10K-100K
bootstrap-table	control	100K-1M
bootstrap.native	control	10K-100K
bplist-parser	control	1M+
braintree	control	100K-1M
braintree-web	control	100K-1M
breakpoint-sass	control	100K-1M
broccoli-persistent-filter	control	1M+
browser-lang	control	100K-1M
browserslist	control	1M+
bson-objectid	control	100K-1M
builder-pattern	control	10K-100K
builder-util	control	1M+
bulma-calendar	control	10K-100K
bytes	control	1M+
cache-manager	control	1M+
cache-manager-redis-store	control	100K-1M
cached-path-relative	control	1M+
camelize	control	1M+
catering	control	100K-1M
chai	control	1M+
chance	control	1M+
chardet	control	1M+
chartjs-plugin-zoom	control	100K-1M
check-dependency-version-consistency	control	10K-100K
chevrotain	control	1M+
chronoshift	control	1K-10K
ci-info	control	1M+
cidr-regex	control	1M+
clap	control	1M+
classcard-ui	control	1K-10K
classnames	control	1M+
clean-stack	control	1M+
cls-proxify	control	10K-100K
coc-pairs	control	1K-10K
coc-snippets	control	1K-10K
codemirror	control	1M+
codemirror-graphql	control	1M+
color-name	case	1M+
color-string	case	1M+
colorette	control	1M+
command-line-usage	control	1M+
commander	control	1M+
commitlint	control	100K-1M
commitlint-plugin-jira-rules	control	100K-1M
compare-versions	control	1M+
compress-brotli	control	1M+
compressing	case	10K-100K
connect-history-api-fallback	control	1M+
consul	control	100K-1M
content-security-policy-parser	case	10K-100K
convert-source-map	control	1M+
convict	case	1M+
cookie	case	1M+
cosmiconfig-typescript-loader	control	1M+
cp-file	control	1M+
craco-plugin-single-spa-application	control	10K-100K
crc-32	control	1M+
create-nx-workspace	control	10K-100K
critters	case	1M+
cron-validator	control	100K-1M
cronofy-elements	control	10K-100K
crypto-random-string	control	1M+
cspell-glob	control	100K-1M
css-selector-generator	control	10K-100K
css-tree	control	1M+
cyberchef	case	1K-10K
cypress-localstorage-commands	control	1M+
cypress-wait-for-stable-dom	control	10K-100K
d3-contour	control	1M+
danger	case	1M+
danger-plugin-code-coverage	control	10K-100K
darkreader	case	10K-100K
dash-core-components	case	100K-1M
dash-html-components	case	10K-100K
datalist-polyfill	control	10K-100K
datatables.net-autofill	control	100K-1M
datatables.net-fixedcolumns-bs4	control	100K-1M
datatables.net-keytable-bs4	control	100K-1M
dcmjs	control	10K-100K
dd-trace	case	1M+
deasync	control	1M+
debug	case	1M+
decimal.js	control	1M+
decode-uri-component	case	1M+
deep-eql	control	1M+
deep-object-diff	control	1M+
deepmerge-ts	case	100K-1M
define-properties	control	1M+
defu	case	1M+
degenerator	control	1M+
deobfuscator	case	10K-100K
dependency-cruiser	control	1M+
destroy	control	1M+
detect-file-encoding-and-language	control	10K-100K
detect-indent	control	1M+
detective-postcss	control	1M+
detective-sass	control	1M+
detective-typescript	control	1M+
deterministic-versions	control	1K-10K
devalue	case	1M+
devicon	control	10K-100K
devtools-protocol	control	1M+
diff	case	1M+
directus	case	10K-100K
discord-giveaways	control	10K-100K
discord-together	control	10K-100K
disqus-react	control	10K-100K
dmg-license	control	100K-1M
dns-query	control	1K-10K
docker-modem	control	1M+
docsify	control	100K-1M
dom-expressions	case	1K-10K
domhandler	control	1M+
dommatrix	control	1M+
dompurify	case	1M+
domwaiter	control	100K-1M
dotenv-webpack	control	1M+
draftjs-filters	control	10K-100K
drizzle-orm	case	1K-10K
dset	case	1M+
duckdb	case	10K-100K
dugite	control	10K-100K
duplexer3	control	1M+
eas-cli	control	100K-1M
ecdh	case	1K-10K
echarts	case	1M+
ejs	case	1M+
electron	case	1M+
electron-pdf	case	1K-10K
electron-updater	case	1M+
element-plus	case	100K-1M
elysia	case	1K-10K
ember-classic-decorator	control	100K-1M
ember-compatibility-helpers	control	100K-1M
ember-ref-bucket	control	10K-100K
ember-truth-helpers	control	100K-1M
eme-encryption-scheme-polyfill	control	100K-1M
emoji-mart	control	1M+
engine.io	case	1M+
engine.io-client	control	1M+
entities	control	1M+
env-editor	control	1M+
erxes	case	1K-10K
es-abstract	control	1M+
es-aggregate-error	control	1M+
es5-ext	case	1M+
es6-set	control	1M+
esbuild	case	1M+
esbuild-linux-64	control	1M+
esbuild-linux-arm	control	1M+
esbuild-windows-64	control	1M+
eslint	case	1M+
eslint-config-airbnb-typescript	control	1M+
eslint-config-pipedrive	control	10K-100K
eslint-config-prettier	case	1M+
eslint-config-skuba	control	10K-100K
eslint-config-torchbox	control	1K-10K
eslint-config-turbo	control	100K-1M
eslint-config-universe	control	100K-1M
eslint-detailed-reporter	case	10K-100K
eslint-import-resolver-typescript	control	1M+
eslint-plugin-destructuring-newline	control	10K-100K
eslint-plugin-html	control	1M+
eslint-plugin-jest-dom	control	1M+
eslint-plugin-local-rules	control	100K-1M
eslint-plugin-n	control	1M+
eslint-plugin-prettier	case	1M+
eslint-plugin-prettier-vue	control	100K-1M
eslint-plugin-simple-import-sort	control	1M+
eslint-plugin-sonarjs	control	1M+
eslint-plugin-strict-dependencies	control	10K-100K
eslint-plugin-unicorn	control	1M+
eslint-webpack-plugin	control	1M+
espree	control	1M+
estree-util-value-to-estree	case	100K-1M
eth-block-tracker	control	1M+
eventemitter2	control	1M+
everscale-inpage-provider	control	1K-10K
exifreader	case	10K-100K
exiftool-vendored	case	10K-100K
expect	control	1M+
expirable-storage	control	100K-1M
expo	case	1M+
expo-document-picker	control	100K-1M
expo-file-system	control	1M+
expo-firebase-analytics	control	10K-100K
expo-mail-composer	control	10K-100K
expo-pwa	control	100K-1M
expo-updates-interface	control	100K-1M
expose-loader	control	1M+
express	case	1M+
express-fileupload	control	1M+
express-rate-limit	case	1M+
express-xss-sanitizer	case	10K-100K
express-zod-api	case	1K-10K
external-svg-loader	case	10K-100K
extra-fetch	control	1K-10K
extract-files	control	1M+
fabric	case	100K-1M
fast-average-color	control	100K-1M
fast-glob	control	1M+
fast-json-stringify	control	1M+
fast-jwt	case	100K-1M
fast-redact	case	1M+
fast-uri	case	1M+
fast-xml-parser	case	1M+
fastify	case	1M+
faucet	control	100K-1M
fb-watchman	control	1M+
feather-icons	control	100K-1M
fela-bindings	control	100K-1M
fetch-blob	control	1M+
fflate	case	1M+
fhir-kit-client	control	10K-100K
fibers	control	1M+
fido2-lib	case	1K-10K
figures	control	1M+
file-type	case	1M+
filesize	control	1M+
final-form	control	1M+
find-exec	case	10K-100K
find-my-way	case	1M+
find-test-names	control	1M+
firebase	case	1M+
firebase-tools	case	1M+
fixed-data-table-2	control	100K-1M
fixparser	control	1K-10K
flatpickr	control	1M+
flatted	case	1M+
flickity	control	100K-1M
flowgen	control	100K-1M
follow-redirects	case	1M+
fontfaceobserver	control	1M+
foo-foo-mq	control	10K-100K
format-message-formats	control	100K-1M
formidable	case	1M+
formio	case	1K-10K
found	control	10K-100K
foundation-sites	case	100K-1M
frappe-ui	control	1K-10K
froala-editor	case	100K-1M
fs-capacitor	control	1M+
full-icu	control	1M+
fuzzysort	control	100K-1M
gatsby	case	1M+
gatsby-legacy-polyfills	control	1M+
gatsby-plugin-force-file-loader	control	10K-100K
gatsby-plugin-sharp	case	1M+
gatsby-plugin-typescript	control	1M+
gatsby-plugin-utils	control	1M+
gatsby-sharp	control	1M+
gatsby-source-ghost	control	1K-10K
gatsby-transformer-remark	case	100K-1M
gaxios	control	1M+
gcs-resumable-upload	control	1M+
generator-jhipster	case	100K-1M
generic-pool	control	1M+
genieacs	case	1K-10K
get-jwks	case	10K-100K
gettext-converter	case	100K-1M
gettext.js	case	1K-10K
gherkin-io	control	10K-100K
ghost	case	10K-100K
git-commit-info	case	10K-100K
git-cz	control	100K-1M
git-url-parse	control	1M+
glize	control	100K-1M
glob	case	1M+
globals	control	1M+
globby	control	1M+
gm	control	1M+
google-auth-library	control	1M+
google-translate-api-browser	case	1K-10K
got-fetch	case	10K-100K
graphology-shortest-path	control	10K-100K
graphql	case	1M+
graphql-compose	control	1M+
graphql-config	control	1M+
graphql-executor	control	1M+
graphql-extensions	control	1M+
graphql-mapping-template	control	100K-1M
graphql-modules	case	10K-100K
graphql-scalars	control	1M+
graphql-schema-linter	control	100K-1M
graphql-tool-utilities	control	100K-1M
graphql-transformer-common	control	100K-1M
grunt-contrib-clean	control	1M+
grunt-stylelint	control	100K-1M
h3	case	100K-1M
happy-dom	case	100K-1M
haredo	control	1K-10K
hashi-vault-js	case	10K-100K
hast-util-to-mdast	control	100K-1M
helmet	control	1M+
hexo	case	10K-100K
hexo-util	control	100K-1M
highlight.js	control	1M+
highlight.run	case	10K-100K
history	control	1M+
hls.js	control	1M+
hono	case	10K-100K
hops-config	control	1K-10K
html-entities	control	1M+
html-to-react	control	1M+
html-to-text	control	1M+
http-auth-connect	control	1M+
http-link-header	control	1M+
http-proxy-middleware	case	1M+
hull.js	case	10K-100K
hydrooj	case	1K-10K
i18n	control	1M+
i18next	control	1M+
i18next-fs-backend	case	1M+
i18next-http-backend	case	1M+
i18next-http-middleware	case	100K-1M
i18next-locize-backend	case	100K-1M
i18next-parser	control	100K-1M
ibp-cdn	control	1K-10K
icon-gen	control	100K-1M
image-size	case	1M+
images	case	10K-100K
immutable	case	1M+
import-in-the-middle	case	1M+
imports-loader	control	1M+
inferno-clone-vnode	control	100K-1M
inngest	case	1K-10K
input-format	control	1M+
insomnia-plugin-documents-br	control	1K-10K
install-artifact-from-github	control	1M+
intercom-client	case	100K-1M
invert-kv	control	1M+
ip	case	1M+
ip-cidr	control	100K-1M
ipfs-unixfs-exporter	control	100K-1M
ipx	case	100K-1M
is-async-function	control	100K-1M
is-core-module	control	1M+
is-localhost-ip	control	100K-1M
is-observable	control	1M+
is-reachable	control	100K-1M
is-relative-url	control	1M+
iso8601-duration	control	1M+
isolate-hooks	control	1K-10K
issue-regex	control	100K-1M
it-concat	control	100K-1M
izimodal	case	1K-10K
jake	control	1M+
jazelle	control	1M+
jest-jquery-matchers	control	100K-1M
jest-leak-detector	control	1M+
jest-preset-angular	control	1M+
jest-util	control	1M+
jest-worker	control	1M+
jira.js	control	10K-100K
jodit	case	100K-1M
joi	case	1M+
joist-utils	control	10K-100K
jose	case	1M+
jose-node-cjs-runtime	case	1K-10K
jquery	case	1M+
jquery-validation	case	100K-1M
js-object-utilities	case	100K-1M
jscodeshift	control	1M+
jsdoc	control	1M+
jsep	control	1M+
jsii	case	100K-1M
jsii-diff	case	100K-1M
json-2-csv	case	100K-1M
json-logic-js	case	100K-1M
json-pointer	control	1M+
json-stringify-pretty-compact	control	1M+
json2csv	control	1M+
json2typescript	control	10K-100K
jsonata	case	100K-1M
jsonc-eslint-parser	control	1M+
jsonpatch	control	10K-100K
jsonpath-plus	case	1M+
jsonpointer	control	1M+
jsonschema	control	1M+
jspdf	case	1M+
jspreadsheet-ce	case	10K-100K
jsreport	case	1K-10K
jsrsasign	case	100K-1M
jss-plugin-vendor-prefixer	control	1M+
jsuites	case	10K-100K
jszip	case	1M+
juice	control	1M+
karma-coverage	control	1M+
karma-electron	control	10K-100K
katex	case	1M+
keycloak-connect	case	100K-1M
keyv	control	1M+
klikni-jadi-shared-stuff	control	1K-10K
koa	case	1M+
kuuid	control	1K-10K
kysely	case	100K-1M
lambda-local	control	100K-1M
language-subtag-registry	control	1M+
launch-editor	case	1M+
launchdarkly-js-sdk-common	control	1M+
layui	case	10K-100K
lcov-result-merger	control	100K-1M
leaflet-arrowheads	control	10K-100K
lemon_form_design	control	1K-10K
less	control	1M+
less-loader	control	1M+
libreoffice-convert	case	10K-100K
libxmljs	case	100K-1M
libxmljs2	case	100K-1M
lightningcss-linux-x64-gnu	control	100K-1M
lightship	control	100K-1M
lilconfig	case	1M+
link-preview-js	case	10K-100K
linkedom	control	100K-1M
linkify-it	case	1M+
linkifyjs	case	1M+
liquidjs	case	100K-1M
livereload-js	control	1M+
locize	case	10K-100K
lockfile-lint-api	case	100K-1M
locutus	case	100K-1M
log-update	control	1M+
lorem-ipsum	control	100K-1M
luxon	case	1M+
lxgw-wenkai-webfont	control	10K-100K
macos-release	control	1M+
maildev	case	10K-100K
mailgen	case	10K-100K
mailparser	case	1M+
makerjs	case	1K-10K
mammoth	case	100K-1M
mapshaper	case	10K-100K
mariadb	case	100K-1M
markdown-it	case	1M+
markdown-pdf	case	10K-100K
markdown-to-jsx	case	1M+
marked	case	1M+
marko	case	10K-100K
markuplint-angular-parser	control	1K-10K
marv	control	10K-100K
match-json	control	10K-100K
math-codegen	case	1K-10K
math.gl	control	100K-1M
mathjax	case	100K-1M
mathjs	case	1M+
mathlive	case	100K-1M
matrix-appservice-bridge	case	1K-10K
matrix-js-sdk	case	10K-100K
matrix-react-sdk	case	1K-10K
mbt	control	10K-100K
md-to-pdf	case	10K-100K
mdast-util-gfm-footnote	control	1M+
mdast-util-gfm-table	control	1M+
mdast-util-to-hast	case	1M+
mediasoup	case	10K-100K
mercurius	case	100K-1M
merge-anything	control	1M+
mermaid	case	1M+
meshcentral	case	10K-100K
messageformat	case	1M+
metascraper-clearbit	control	10K-100K
meteor	case	1K-10K
metro-source-map	control	1M+
metro-symbolicate	control	1M+
micromark-extension-mdx-jsx	control	1M+
micromatch	case	1M+
migrate-mongo	control	100K-1M
mikro-orm	control	100K-1M
minecraft-data	control	100K-1M
miniflare	case	100K-1M
minimatch	case	1M+
minimist-lite	control	10K-100K
misskey-js	case	1K-10K
mjml	case	1M+
mjml-body	control	1M+
mjml-core	control	1M+
mjml-group	control	1M+
mjml-head-font	control	1M+
mjml-head-title	control	1M+
mjml-image	control	1M+
mjml-raw	control	1M+
mkcert	control	10K-100K
mnemonist	control	1M+
mobx-persist-store	control	10K-100K
mobx-react-lite	control	1M+
mock-socket	control	1M+
module-definition	control	1M+
module-from-string	case	10K-100K
mol_db	control	1K-10K
moleculer-elasticsearch	control	1K-10K
moment	control	1M+
mongo-express	case	1K-10K
mongodb	case	1M+
mongodb-client-encryption	control	100K-1M
mongoose	case	1M+
mongosh	case	1K-10K
monocle-ts	control	1M+
mos-connection	control	1K-10K
mrzefr-owo	control	1K-10K
msgpackr	case	1M+
msgpackr-extract	control	1M+
msportalfx-mock	control	10K-100K
msw-storybook-addon	control	1M+
muhammara	case	10K-100K
multer	case	1M+
multiformats	control	100K-1M
multiparty	case	1M+
music-metadata	case	100K-1M
mylas	control	100K-1M
mysql2	case	1M+
n8n	case	1K-10K
n8n-nodes-base	case	1K-10K
nanoid	case	1M+
negotiator	control	1M+
nestjs-minio-client	control	10K-100K
network	case	10K-100K
new-find-package-json	control	1M+
newman	control	1M+
newtype-ts	control	1M+
next	case	1M+
next-auth	case	1M+
next-intl	case	100K-1M
next-mdx-remote	case	100K-1M
next-plugin-bundle-stats	control	1K-10K
next-redux-wrapper	control	1M+
next-tinacms-cloudinary	case	10K-100K
next-with-less	control	10K-100K
ng-let	control	10K-100K
ngforage	control	10K-100K
ngraph.forcelayout	control	10K-100K
ngrok	case	100K-1M
ngx-bootstrap-icons	control	1K-10K
ngx-bs-modal	control	10K-100K
ngx-cookie-service	control	1M+
ngx-extended-pdf-viewer	case	100K-1M
ngx-permissions	control	100K-1M
ngx-toastr	control	1M+
nitropack	case	100K-1M
nocodb	case	1K-10K
node-forge	case	1M+
node-html-to-image	control	10K-100K
node-jose	case	1M+
node-opcua	case	10K-100K
node-opcua-certificate-manager	control	10K-100K
node-pg-migrate	control	100K-1M
node-saml	case	10K-100K
node-sass-chokidar	control	100K-1M
nodemailer	case	1M+
nodemailer-express-handlebars	control	100K-1M
nope-validator	case	10K-100K
normalize-text	control	10K-100K
notepack.io	control	1M+
npm	case	1M+
npm-license-corrections	control	100K-1M
npm-run-path	control	1M+
nswag	control	100K-1M
nuxt	case	1M+
nuxt-api-party	case	1K-10K
nuxt-og-image	case	1K-10K
nuxt-purgecss	control	10K-100K
nv-data-tree-calc	control	1K-10K
nvjson	control	1K-10K
nwsapi	control	1M+
nx	case	1M+
nylas	control	100K-1M
object.assign	control	1M+
object.hasown	control	1M+
oceanic.js	case	1K-10K
oci-loganalytics	control	1K-10K
octokit	case	100K-1M
office-addin-cli	control	100K-1M
ol-mapbox-style	control	100K-1M
only-allow	control	100K-1M
openapi-client-axios-typegen	control	10K-100K
openapi-diff	control	10K-100K
openid-client	control	1M+
openpgp	case	100K-1M
orejime	case	10K-100K
outvariant	control	1M+
p-cancelable	control	1M+
p-map	control	1M+
pacote	case	1M+
pagefind	case	1K-10K
papaparse	case	1M+
parchment	control	1M+
parse	case	100K-1M
parse-dashboard	case	10K-100K
parse-server	case	10K-100K
parse-uri	case	100K-1M
passport	control	1M+
passport-saml	case	100K-1M
patch-package	control	1M+
path-is-network-drive	control	1M+
path-loader	control	1M+
path-to-regexp	case	1M+
payload	case	10K-100K
pdf	control	1K-10K
pdfjs-dist	case	1M+
pdfkit-table	control	10K-100K
pdfmake	case	1M+
peek-readable	control	1M+
performant-array-to-tree	control	10K-100K
petite-vue-i18n	case	1K-10K
pg	control	1M+
pg-promise	case	1M+
phin	case	1M+
phoenix_html	case	10K-100K
phosphor-react	control	100K-1M
picomatch	case	1M+
pino-http	control	1M+
pixelmatch	control	1M+
pixels-catcher	control	10K-100K
pkg	case	100K-1M
pkg-dir	control	1M+
playwright	case	1M+
playwright-webkit	control	100K-1M
plotly.js	case	100K-1M
pm2	case	1M+
pnpm	case	1M+
polotno-node	control	1K-10K
postcss	case	1M+
postcss-color-functional-notation	control	1M+
postcss-colormin	control	1M+
postcss-discard-duplicates	control	1M+
postcss-html	control	1M+
postcss-lab-function	control	1M+
postcss-load-config	control	1M+
postcss-minify-gradients	control	1M+
postcss-minify-params	control	1M+
postcss-modules	control	1M+
postcss-ordered-values	control	1M+
postcss-prefix-selector	control	1M+
postcss-preset-env	control	1M+
postcss-rtlcss	control	100K-1M
postcss-selector-parser	case	1M+
postcss-unique-selectors	control	1M+
postcss-values-parser	control	1M+
posthog-js	case	100K-1M
posthtml	control	1M+
postman-runtime	control	1M+
preact	case	1M+
preact-render-to-string	control	1M+
prebid-universal-creative	case	1K-10K
prebid.js	case	10K-100K
prettier-config-vuepress	control	10K-100K
pretty-ms	control	1M+
primeicons	control	1M+
printj	control	1M+
prismjs	case	1M+
private-ip	case	100K-1M
probot	case	100K-1M
prom-client	control	1M+
promise-breaker	control	1M+
prop-types	control	1M+
prosemirror-dropcursor	control	1M+
protobufjs	case	1M+
protobufjs-cli	case	1M+
pubnub	case	100K-1M
pui9-server-utils	control	10K-100K
pure-rand	control	100K-1M
qs	case	1M+
quasar	case	100K-1M
quicktype	control	100K-1M
ra-language-czech	control	1K-10K
ra-ui-materialui	case	100K-1M
ramda-adjunct	control	100K-1M
ranges-merge	control	100K-1M
rangy	case	100K-1M
raygun4js	control	100K-1M
razzle-plugin-scss	control	10K-100K
rc-cascader	control	1M+
rc-input	control	1M+
rc-mentions	control	1M+
rdndmb-html5-to-touch	control	10K-100K
re2	case	1M+
react-a11y-disclosure	control	1K-10K
react-ace	control	1M+
react-admin	case	100K-1M
react-animate-height	control	1M+
react-apexcharts	control	1M+
react-app-rewired	control	1M+
react-art	control	100K-1M
react-bootstrap-typeahead	control	1M+
react-calendar	control	1M+
react-clock	control	100K-1M
react-colorful	control	1M+
react-device-detect	control	1M+
react-devtools-core	case	1M+
react-dnd-test-backend	control	100K-1M
react-draft-wysiwyg	case	100K-1M
react-drag-sizing	control	10K-100K
react-easy-emoji	control	10K-100K
react-feather	control	100K-1M
react-fela	control	100K-1M
react-flag-kit	control	100K-1M
react-freeze	control	1M+
react-ga	control	1M+
react-hotkeys-hook	control	1M+
react-hydration-on-demand	control	10K-100K
react-json-tree	control	100K-1M
react-linkify-it	control	10K-100K
react-modal	control	1M+
react-native-agora	control	10K-100K
react-native-animated-numbers	control	10K-100K
react-native-appboy-sdk	control	100K-1M
react-native-background-fetch	control	100K-1M
react-native-collapsible-tab-view	control	10K-100K
react-native-compass-heading	control	10K-100K
react-native-document-picker	case	100K-1M
react-native-gradle-plugin	control	1M+
react-native-image-slider-box	control	10K-100K
react-native-ios-context-menu	control	10K-100K
react-native-mmkv	case	100K-1M
react-native-phone-call	control	10K-100K
react-native-reanimated	control	1M+
react-native-star-rating-widget	control	10K-100K
react-native-swipeable-list	control	10K-100K
react-native-system-setting	control	10K-100K
react-native-video	control	100K-1M
react-native-web	control	1M+
react-native-webview	control	1M+
react-navigation-header-buttons	control	10K-100K
react-pdf	case	1M+
react-photoswipe-gallery	control	10K-100K
react-player	control	1M+
react-popper	control	1M+
react-portal	control	1M+
react-query	control	1M+
react-quill	control	1M+
react-remove-scroll	control	1M+
react-router	case	1M+
react-router-dom	case	1M+
react-scroll-to-top	control	10K-100K
react-select-event	control	1M+
react-selecto	control	10K-100K
react-server-dom-webpack	case	100K-1M
react-simple-code-editor	control	1M+
react-simple-maps	control	100K-1M
react-sticky-box	control	100K-1M
react-style-singleton	control	1M+
react-tab-set	control	1K-10K
react-text-mask	control	1M+
react-timezone-select	control	10K-100K
react-transition-state	control	100K-1M
react-twitter-widgets	control	100K-1M
react-wavify	control	10K-100K
read-chunk	control	1M+
read-config-file	control	1M+
read-package-json	control	1M+
recharts	control	1M+
recoil-persist	control	10K-100K
